K,Resolucao original,Resolucao gerada,Tamanho KB Original,Tamanho KB Gerado,Cores unicas originais,Cores unicas geradas
3,720x1280,720x1280,1659.8818359375,420.728515625,100871,3
4,720x1280,720x1280,1659.8818359375,452.720703125,100871,4
5,720x1280,720x1280,1659.8818359375,469.322265625,100871,5
6,720x1280,720x1280,1659.8818359375,468.515625,100871,6
8,720x1280,720x1280,1659.8818359375,468.76171875,100871,8
10,720x1280,720x1280,1659.8818359375,469.26953125,100871,10
7,720x1280,720x1280,1659.8818359375,463.119140625,100871,7
