K,Resolucao original,Resolucao gerada,Tamanho KB Original,Tamanho KB Gerado,Cores unicas originais,Cores unicas geradas
3,720x1280,720x1280,1501.9345703125,433.609375,185346,3
4,720x1280,720x1280,1501.9345703125,470.623046875,185346,4
6,720x1280,720x1280,1501.9345703125,492.39453125,185346,6
5,720x1280,720x1280,1501.9345703125,492.2255859375,185346,5
7,720x1280,720x1280,1501.9345703125,486.833984375,185346,7
8,720x1280,720x1280,1501.9345703125,495.0283203125,185346,8
10,720x1280,720x1280,1501.9345703125,491.8369140625,185346,10
