K,Resolucao original,Resolucao gerada,Tamanho KB Original,Tamanho KB Gerado,Cores unicas originais,Cores unicas geradas
3,720x1280,720x1280,1675.1572265625,394.6298828125,225759,3
4,720x1280,720x1280,1675.1572265625,408.0087890625,225759,4
6,720x1280,720x1280,1675.1572265625,456.1044921875,225759,6
5,720x1280,720x1280,1675.1572265625,429.2626953125,225759,5
8,720x1280,720x1280,1675.1572265625,469.6826171875,225759,8
7,720x1280,720x1280,1675.1572265625,470.654296875,225759,7
10,720x1280,720x1280,1675.1572265625,480.0595703125,225759,10
