K,Resolucao original,Resolucao gerada,Tamanho KB Original,Tamanho KB Gerado,Cores unicas originais,Cores unicas geradas
4,720x1280,720x1280,2036.5625,585.69140625,210190,4
3,720x1280,720x1280,2036.5625,539.5380859375,210190,3
5,720x1280,720x1280,2036.5625,609.4931640625,210190,5
6,720x1280,720x1280,2036.5625,622.5087890625,210190,6
7,720x1280,720x1280,2036.5625,621.3623046875,210190,7
8,720x1280,720x1280,2036.5625,622.2421875,210190,8
10,720x1280,720x1280,2036.5625,629.888671875,210190,10
