K,Resolucao original,Resolucao gerada,Tamanho KB Original,Tamanho KB Gerado,Cores unicas originais,Cores unicas geradas
3,720x1280,720x1280,954.3740234375,215.859375,52597,3
4,720x1280,720x1280,954.3740234375,222.1328125,52597,4
5,720x1280,720x1280,954.3740234375,246.78515625,52597,5
7,720x1280,720x1280,954.3740234375,269.923828125,52597,7
6,720x1280,720x1280,954.3740234375,258.5966796875,52597,6
8,720x1280,720x1280,954.3740234375,278.9853515625,52597,8
10,720x1280,720x1280,954.3740234375,280.3544921875,52597,10
